Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	protein ubiquitination (GO:0016567)	3/525	1.470446e-02	5.622820e-02	0	0	6.578093e+00	2.775695e+01	PSMB7;FBXO7;ANAPC11
GO_Biological_Process_2021	cellular sodium ion homeostasis (GO:0006883)	1/15	1.490050e-02	5.622820e-02	0	0	7.506015e+01	3.157300e+02	ATP1B3
GO_Biological_Process_2021	macrophage migration (GO:1905517)	1/15	1.490050e-02	5.622820e-02	0	0	7.506015e+01	3.157300e+02	LGALS3
GO_Biological_Process_2021	regulation of aerobic respiration (GO:1903715)	1/15	1.490050e-02	5.622820e-02	0	0	7.506015e+01	3.157300e+02	COX7A2L
GO_Biological_Process_2021	clathrin coat assembly (GO:0048268)	1/15	1.490050e-02	5.622820e-02	0	0	7.506015e+01	3.157300e+02	CLTA
GO_Biological_Process_2021	positive regulation of telomerase RNA localization to Cajal body (GO:1904874)	1/15	1.490050e-02	5.622820e-02	0	0	7.506015e+01	3.157300e+02	NHP2
GO_Biological_Process_2021	negative regulation of protein processing (GO:0010955)	1/15	1.490050e-02	5.622820e-02	0	0	7.506015e+01	3.157300e+02	SERPINE2
GO_Biological_Process_2021	regulation of mitotic cell cycle phase transition (GO:1901990)	2/188	1.494163e-02	5.622820e-02	0	0	1.182437e+01	4.970498e+01	PSMB7;ANAPC11
GO_Biological_Process_2021	membrane repolarization (GO:0086009)	1/16	1.588634e-02	5.622820e-02	0	0	7.005263e+01	2.901787e+02	ATP1B3
GO_Biological_Process_2021	negative regulation of immune effector process (GO:0002698)	1/16	1.588634e-02	5.622820e-02	0	0	7.005263e+01	2.901787e+02	LGALS3
GO_Biological_Process_2021	regulation of oxidative phosphorylation (GO:0002082)	1/16	1.588634e-02	5.622820e-02	0	0	7.005263e+01	2.901787e+02	COX7A2L
GO_Biological_Process_2021	negative regulation of platelet activation (GO:0010544)	1/16	1.588634e-02	5.622820e-02	0	0	7.005263e+01	2.901787e+02	SERPINE2
GO_Biological_Process_2021	eosinophil chemotaxis (GO:0048245)	1/16	1.588634e-02	5.622820e-02	0	0	7.005263e+01	2.901787e+02	LGALS3
GO_Biological_Process_2021	eosinophil migration (GO:0072677)	1/16	1.588634e-02	5.622820e-02	0	0	7.005263e+01	2.901787e+02	LGALS3
GO_Biological_Process_2021	negative regulation of ATP metabolic process (GO:1903579)	1/17	1.687123e-02	5.622820e-02	0	0	6.567105e+01	2.680788e+02	FIS1
GO_Biological_Process_2021	negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902254)	1/17	1.687123e-02	5.622820e-02	0	0	6.567105e+01	2.680788e+02	PTTG1IP
GO_Biological_Process_2021	mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	1/17	1.687123e-02	5.622820e-02	0	0	6.567105e+01	2.680788e+02	COX7A2L
GO_Biological_Process_2021	modification-dependent protein catabolic process (GO:0019941)	2/201	1.695358e-02	5.622820e-02	0	0	1.104467e+01	4.503216e+01	FBXO7;ANAPC11
GO_Biological_Process_2021	negative regulation of signal transduction by p53 class mediator (GO:1901797)	1/18	1.785520e-02	5.622820e-02	0	0	6.180495e+01	2.487934e+02	PTTG1IP
GO_Biological_Process_2021	regulation of telomerase RNA localization to Cajal body (GO:1904872)	1/18	1.785520e-02	5.622820e-02	0	0	6.180495e+01	2.487934e+02	NHP2
GO_Biological_Process_2021	release of cytochrome c from mitochondria (GO:0001836)	1/18	1.785520e-02	5.622820e-02	0	0	6.180495e+01	2.487934e+02	FIS1
GO_Biological_Process_2021	positive regulation of glial cell differentiation (GO:0045687)	1/18	1.785520e-02	5.622820e-02	0	0	6.180495e+01	2.487934e+02	SERPINE2
GO_Biological_Process_2021	mitochondrial fission (GO:0000266)	1/18	1.785520e-02	5.622820e-02	0	0	6.180495e+01	2.487934e+02	FIS1
GO_Biological_Process_2021	mitochondrial fusion (GO:0008053)	1/18	1.785520e-02	5.622820e-02	0	0	6.180495e+01	2.487934e+02	FIS1
GO_Biological_Process_2021	negative regulation of leukocyte cell-cell adhesion (GO:1903038)	1/18	1.785520e-02	5.622820e-02	0	0	6.180495e+01	2.487934e+02	GPNMB
GO_Biological_Process_2021	regulation of cellular protein catabolic process (GO:1903362)	1/18	1.785520e-02	5.622820e-02	0	0	6.180495e+01	2.487934e+02	PTTG1IP
GO_Biological_Process_2021	regulation of platelet aggregation (GO:0090330)	1/18	1.785520e-02	5.622820e-02	0	0	6.180495e+01	2.487934e+02	SERPINE2
GO_Biological_Process_2021	negative regulation of T cell receptor signaling pathway (GO:0050860)	1/19	1.883822e-02	5.683127e-02	0	0	5.836842e+01	2.318316e+02	LGALS3
GO_Biological_Process_2021	positive regulation of cellular protein catabolic process (GO:1903364)	1/19	1.883822e-02	5.683127e-02	0	0	5.836842e+01	2.318316e+02	PTTG1IP
GO_Biological_Process_2021	regulation of lymphocyte proliferation (GO:0050670)	1/19	1.883822e-02	5.683127e-02	0	0	5.836842e+01	2.318316e+02	LGALS3
GO_Biological_Process_2021	regulation of autophagy of mitochondrion (GO:1903146)	1/19	1.883822e-02	5.683127e-02	0	0	5.836842e+01	2.318316e+02	FBXO7
GO_Biological_Process_2021	positive regulation of mitochondrial fission (GO:0090141)	1/19	1.883822e-02	5.683127e-02	0	0	5.836842e+01	2.318316e+02	FIS1
GO_Biological_Process_2021	regulation of tissue remodeling (GO:0034103)	1/20	1.982031e-02	5.832370e-02	0	0	5.529363e+01	2.168090e+02	GPNMB
GO_Biological_Process_2021	cellular monovalent inorganic cation homeostasis (GO:0030004)	1/20	1.982031e-02	5.832370e-02	0	0	5.529363e+01	2.168090e+02	ATP1B3
GO_Biological_Process_2021	endoplasmic reticulum calcium ion homeostasis (GO:0032469)	1/20	1.982031e-02	5.832370e-02	0	0	5.529363e+01	2.168090e+02	FIS1
GO_Biological_Process_2021	aerobic respiration (GO:0009060)	1/21	2.080147e-02	5.974182e-02	0	0	5.252632e+01	2.034203e+02	UQCRC1
GO_Biological_Process_2021	calcium-mediated signaling using intracellular calcium source (GO:0035584)	1/21	2.080147e-02	5.974182e-02	0	0	5.252632e+01	2.034203e+02	FIS1
GO_Biological_Process_2021	rRNA modification (GO:0000154)	1/21	2.080147e-02	5.974182e-02	0	0	5.252632e+01	2.034203e+02	NHP2
GO_Biological_Process_2021	mitochondrial calcium ion homeostasis (GO:0051560)	1/22	2.178169e-02	6.061727e-02	0	0	5.002256e+01	1.914206e+02	FIS1
GO_Biological_Process_2021	organelle fusion (GO:0048284)	1/22	2.178169e-02	6.061727e-02	0	0	5.002256e+01	1.914206e+02	FIS1
GO_Biological_Process_2021	proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	1/22	2.178169e-02	6.061727e-02	0	0	5.002256e+01	1.914206e+02	PSMB7
GO_Biological_Process_2021	protein import into peroxisome membrane (GO:0045046)	1/22	2.178169e-02	6.061727e-02	0	0	5.002256e+01	1.914206e+02	FIS1
GO_Biological_Process_2021	positive regulation of protein autophosphorylation (GO:0031954)	1/23	2.276098e-02	6.143754e-02	0	0	4.774641e+01	1.806107e+02	GPNMB
GO_Biological_Process_2021	nucleotide-excision repair, DNA damage recognition (GO:0000715)	1/23	2.276098e-02	6.143754e-02	0	0	4.774641e+01	1.806107e+02	COPS6
GO_Biological_Process_2021	regulation of mononuclear cell migration (GO:0071675)	1/23	2.276098e-02	6.143754e-02	0	0	4.774641e+01	1.806107e+02	LGALS3
GO_Biological_Process_2021	negative regulation of phosphoprotein phosphatase activity (GO:0032515)	1/23	2.276098e-02	6.143754e-02	0	0	4.774641e+01	1.806107e+02	LGALS3
GO_Biological_Process_2021	positive regulation of protein targeting to membrane (GO:0090314)	1/24	2.373934e-02	6.190527e-02	0	0	4.566819e+01	1.708274e+02	FIS1
GO_Biological_Process_2021	potassium ion homeostasis (GO:0055075)	1/24	2.373934e-02	6.190527e-02	0	0	4.566819e+01	1.708274e+02	ATP1B3
GO_Biological_Process_2021	negative regulation of antigen receptor-mediated signaling pathway (GO:0050858)	1/25	2.471677e-02	6.190527e-02	0	0	4.376316e+01	1.619356e+02	LGALS3
GO_Biological_Process_2021	sodium ion homeostasis (GO:0055078)	1/25	2.471677e-02	6.190527e-02	0	0	4.376316e+01	1.619356e+02	ATP1B3
GO_Biological_Process_2021	receptor catabolic process (GO:0032801)	1/25	2.471677e-02	6.190527e-02	0	0	4.376316e+01	1.619356e+02	CLTA
GO_Biological_Process_2021	negative regulation of endocytosis (GO:0045806)	1/25	2.471677e-02	6.190527e-02	0	0	4.376316e+01	1.619356e+02	LGALS3
GO_Biological_Process_2021	regulation of calcium ion import (GO:0090279)	1/25	2.471677e-02	6.190527e-02	0	0	4.376316e+01	1.619356e+02	LGALS3
GO_Biological_Process_2021	regulation of mitochondrial fission (GO:0090140)	1/25	2.471677e-02	6.190527e-02	0	0	4.376316e+01	1.619356e+02	FIS1
GO_Biological_Process_2021	peroxisome organization (GO:0007031)	1/25	2.471677e-02	6.190527e-02	0	0	4.376316e+01	1.619356e+02	FIS1
GO_Biological_Process_2021	regulation of protein processing (GO:0070613)	1/25	2.471677e-02	6.190527e-02	0	0	4.376316e+01	1.619356e+02	SERPINE2
GO_Biological_Process_2021	maturation of LSU-rRNA (GO:0000470)	1/26	2.569327e-02	6.190527e-02	0	0	4.201053e+01	1.538226e+02	NHP2
GO_Biological_Process_2021	clathrin-dependent endocytosis (GO:0072583)	1/26	2.569327e-02	6.190527e-02	0	0	4.201053e+01	1.538226e+02	CLTA
GO_Biological_Process_2021	regulation of mitotic metaphase/anaphase transition (GO:0030071)	1/26	2.569327e-02	6.190527e-02	0	0	4.201053e+01	1.538226e+02	ANAPC11
GO_Biological_Process_2021	organelle fission (GO:0048285)	1/26	2.569327e-02	6.190527e-02	0	0	4.201053e+01	1.538226e+02	FIS1
GO_Biological_Process_2021	positive regulation of ion transmembrane transporter activity (GO:0032414)	1/26	2.569327e-02	6.190527e-02	0	0	4.201053e+01	1.538226e+02	ATP1B3
GO_Biological_Process_2021	regulation of potassium ion transmembrane transporter activity (GO:1901016)	1/26	2.569327e-02	6.190527e-02	0	0	4.201053e+01	1.538226e+02	ATP1B3
GO_Biological_Process_2021	melanosome organization (GO:0032438)	1/27	2.666885e-02	6.257592e-02	0	0	4.039271e+01	1.463937e+02	PMEL
GO_Biological_Process_2021	regulation of blood coagulation (GO:0030193)	1/27	2.666885e-02	6.257592e-02	0	0	4.039271e+01	1.463937e+02	SERPINE2
GO_Biological_Process_2021	regulation of vasculature development (GO:1901342)	1/27	2.666885e-02	6.257592e-02	0	0	4.039271e+01	1.463937e+02	GPNMB
GO_Biological_Process_2021	peroxisomal membrane transport (GO:0015919)	1/27	2.666885e-02	6.257592e-02	0	0	4.039271e+01	1.463937e+02	FIS1
GO_Biological_Process_2021	negative regulation of oxidative stress-induced cell death (GO:1903202)	1/28	2.764349e-02	6.302808e-02	0	0	3.889474e+01	1.395685e+02	FBXO7
GO_Biological_Process_2021	regulation of plasma membrane bounded cell projection organization (GO:0120035)	1/28	2.764349e-02	6.302808e-02	0	0	3.889474e+01	1.395685e+02	FBXO7
GO_Biological_Process_2021	regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043516)	1/28	2.764349e-02	6.302808e-02	0	0	3.889474e+01	1.395685e+02	PTTG1IP
GO_Biological_Process_2021	RNA phosphodiester bond hydrolysis (GO:0090501)	1/28	2.764349e-02	6.302808e-02	0	0	3.889474e+01	1.395685e+02	NHP2
GO_Biological_Process_2021	regulation of protein targeting to membrane (GO:0090313)	1/29	2.861721e-02	6.302808e-02	0	0	3.750376e+01	1.332789e+02	FIS1
GO_Biological_Process_2021	protein targeting to peroxisome (GO:0006625)	1/29	2.861721e-02	6.302808e-02	0	0	3.750376e+01	1.332789e+02	FIS1
GO_Biological_Process_2021	negative regulation of wound healing (GO:0061045)	1/29	2.861721e-02	6.302808e-02	0	0	3.750376e+01	1.332789e+02	SERPINE2
GO_Biological_Process_2021	telomere maintenance via telomerase (GO:0007004)	1/29	2.861721e-02	6.302808e-02	0	0	3.750376e+01	1.332789e+02	NHP2
GO_Biological_Process_2021	positive regulation of leukocyte migration (GO:0002687)	1/29	2.861721e-02	6.302808e-02	0	0	3.750376e+01	1.332789e+02	LGALS3
GO_Biological_Process_2021	protein K11-linked ubiquitination (GO:0070979)	1/29	2.861721e-02	6.302808e-02	0	0	3.750376e+01	1.332789e+02	ANAPC11
GO_Biological_Process_2021	RNA-dependent DNA biosynthetic process (GO:0006278)	1/30	2.959000e-02	6.477322e-02	0	0	3.620871e+01	1.274662e+02	NHP2
GO_Biological_Process_2021	inorganic cation transmembrane transport (GO:0098662)	2/274	3.020634e-02	6.541785e-02	0	0	8.050654e+00	2.817490e+01	ATP1B3;ATP6V1F
